title,review_value,reviewer_name,date_of_review,review_text,aircraft,traveller_type,seat_type,route,date_flown,seat_comfort_rating,cabin_staff_service_rating,food_and_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommendation,source,destination,airlines
"""told I must pay a cancellation fee""",3.0,Justin Colebrissi,2020-01-05,"✅ Trip Verified |  Ho Chi Minh City to Seattle via Tokyo. After we were encouraged to book through their online website by Vietnam staff to save money, we were told by their staff in Vietnam that our infant might be over the weight limit for their child bassinet at the time of flying.  We were told that we should buy another seat for infant to be safe. After checking further their website, I found that the weight restriction for infants in the bassinet is 10 kg. I asked them to refund the tickets, to which they told me I must pay a cancellation fee. I suggested they could refund the ticket with no fee as I booked the ticket only 30 minutes ago. They refused because I booked my ticket on the website I was automatically directed to. I decided to deal with this and hope all would be ok. Finally flight day arrived, and we had no baby bassinet and our seats had been moved from our reserved seats. The agent at the check-in counted was very accommodating and did their best to block a seat for us so that my baby could lay down which was appreciated. Onboard I found the bathrooms ill equipped, my food was average, my seat seemed small, entertainment weak, and supplies seemed lacking for food and childcare. The return flights were worse, not receiving our originally reserved seats, and the staff could not make time to help with our seating arrangement which meant an unhappy babys.  I wrote a review after my first flight, and I haven't received any feedback. ",Boeing 787,Family Leisure,Economy Class,Ho Chi Minh City to Seattle via Tokyo,2019-12-01,2.0,3.0,2.0,2.0,2.0,1,no,Ho Chi Minh City,Seattle ,ana all nippon airways
"""found the leg room was excellent""",6.0,H Green,2019-12-25,"✅ Trip Verified |  Tokyo to Perth. We found the leg room was excellent. Even though take off was delayed by 30 minutes on the ground at Tokyo (due to earlier fog at Narita), the pilot managed to make up time during the 9.5 hour flight and arrive on time in Perth. We felt the food provided was not as good as it could have been. The first meal is served within 2 hours of taking off. It was a passable chicken dish with side dishes of yoghurt, salad and ice cream. The second meal is a snack and is served within 2 hours of landing. Out of Australia, the snack was fine - something like a ham and cheese croissant, but out of Tokyo the snack was an open sandwich with an inexplicable ton of mayonnaise plus vegetables (corn?), I found it horrible. The entertainment options had some recent hollywood movies to choose from - not much choice apart from that. The TV shows and documentaries were poor or non existent. ANA needs to up their game in IFE. The IFE user interface was difficult for me to use and the cabin announcements were far too quiet - I could not hear 90% of what the captain and crew announced during the flight. I probably will not fly ANA again.",Boeing 787-8,Couple Leisure,Economy Class,Tokyo to Perth,2019-12-01,5.0,4.0,2.0,2.0,4.0,4,no,Tokyo,Perth,ana all nippon airways
"""the cabin was sparkling clean""",10.0,L Tran,2019-12-10,"✅ Trip Verified | Tokyo to New York. Excellent service began from check-in, with dedicated check-in room and security screening area. ANA Suite Lounge was nice, but I some how found SQ Private Room at Changi, QF First Class Lounge at SYD and the Concorde Room at JFK better. My flight was exactly the day after ANA launched its new 777 configuration to JFK, so I got stuck with the old version. However, the cabin was sparkling clean and showed no need for upgrading. My complaint was mainly about obstructed view from the Cube, and lack of storage space providing the size of the suite. Lavatory was underwhelming for first class, especially when comparing to my experience on the new SQ Suites just a week earlier. Catering was excellent, as expected from ANA. I picked the Western menu with a lot of skepticism but then was surprised about how tasty the dishes were. The wagyu steak was indeed overcooked, as anticipated on board a flight, but it was, at the same time, tender, juicy, and flavorful. ANA 777-300ER had excellent external camera, but they decided to turn it off upon landing, so I could not have a great landing view as I normally enjoyed with other airlines.",Boeing 777-300ER,Solo Leisure,First Class,Tokyo to New York ,2019-11-01,5.0,5.0,5.0,4.0,5.0,5,yes,Tokyo,New York ,ana all nippon airways
"""Service was good""",8.0,L Tran,2019-12-01,"✅ Trip Verified | Tokyo to Beijing. First, the ANA lounge was very nice. There was a sushi bar but I did not try due to a long queue. The noodle bar was more than enough to keep me happy. There was no flatbed seats, but that was quite adequate for a regional flight. Service was good. In-flight meal was fine but was not as good as on ANA's long-haul flights.",Boeing 787-8,Solo Leisure,Business Class,Tokyo to Beijing ,2019-10-01,4.0,5.0,4.0,4.0,5.0,5,yes,Tokyo,Beijing ,ana all nippon airways
"""In-flight meals were exceptional""",10.0,L Tran,2019-11-29,"✅ Trip Verified |  New York to Tokyo Narita. ANA flights depart from Terminal 7 at JFK. Check-in was quick and organized. As a business class passenger, I got access to British Airways Galleries Lounge, which had just been renovated with ample seating. The boarding process was well organized, and staff constantly apologized for the 15-minute-late departure. This gesture first seemed unnecessary, but it demonstrated a culture of discouraging lateness. The seat was not anything special, but comfortable, in both upright and bed modes. In-flight meals were exceptional, and they were easily one of the best airline meals I have ever had. Overall, ANA deserves its 5 stars.",Boeing 777-300ER,Solo Leisure,Business Class,New York to Tokyo Narita,2019-10-01,5.0,5.0,5.0,4.0,5.0,5,yes,New York,Tokyo Narita,ana all nippon airways
"""service was exceptional""",9.0,Randall Payne,2019-11-11,"Not Verified |  Bangkok to Houston via Tokyo. Fantastic Airline. First time flying with ANA,I was truly impressed. The check-in process (Bangkok) was fast, it took a about 5 minutes. The ground crew was courteous and helpful. The economy leg room was fine for me (5'8""). Seat was fairly comfortable. In flight service was exceptional. A snack before the first of 2 meals for a 12.5hr flight. I'm a vegan, so I elected for the fruit platter for my meals. Fruit was fresh. Plenty of restrooms available and all were spacious and clean. I've flown many Asian carries over the years and I can say this was the best, so far. I can see why ANA is rated as 5 star. I would recommend ANA to anyone. Will definitely travel with them again. ",Boeing 777-300ER,Solo Leisure,Economy Class,Bangkok to Houston via Tokyo,2019-11-01,4.0,5.0,5.0,4.0,5.0,5,yes,Bangkok,Houston ,ana all nippon airways
"""it's such a good experience""",10.0,J Lim,2019-10-16,"✅ Trip Verified |  Houston to Hong Kong via Tokyo. ANA lives up to its reputation as a 5-Star airline and it is easy to see why. I paid US$825, all-in including taxes, for a round trip journey of 3 legs in each way. HKG-NRT-IAH-LIM & back (United Airlines codeshare IAH-LIM). Incredible pricing. Even from the ground, the check-in process (Haneda) was seamless and it took us a mere 10 minutes for check-in and security and immigration combined. Despite the aircraft (B767 & B777) being of some age, their interiors were retrofitted with up-to-date IFE (with a huge selection of the latest movies, no lagging or dead screens), and USB & laptop charging ports. The widebody aircraft meant that overhead storage space was more than sufficient and nobody had any problems finding space for their bags. The legroom in economy was one of the best we had ever experienced in economy. Recline could be better. (I'm 5""11 or 1.81m and I could stretch my legs out fully), seats were fairly comfortable and I had no problems sleeping 6-7 hours at a go on the 13hr flight and this is in economy. FA service was extremely hospitable. They served 2 meals and a snack over the course of 13 hours. The meals were great and as good as what some average Japanese restaurants would serve. It is also worth noting that the checked baggage arrived with no incident. The only minor gripe, perhaps, is that the 3-4-3 configuration in economy is quite a squeeze. But still, overall, it's hard to complain at such a price point. Even in economy it's such a good experience. They deserve to be consistently at the top of world rankings in all categories. ",Boeing 777-300ER / 767-300ER,Couple Leisure,Economy Class,Houston to Hong Kong via Tokyo,2019-10-01,5.0,5.0,5.0,5.0,5.0,5,yes,Houston,Hong Kong ,ana all nippon airways
"""poor ticketing system""",4.0,Syed Umar,2019-10-04,"✅ Trip Verified | Tokyo to Kuala Lumpur. Decent airline but poor ticketing and check-in system. Check-in at ANA counter always takes me more than 30mins because their system indicates that the name on the check-in system and name on passport is the other way around (First name, last name). This happens even though we strictly follow ANA'S online reservation system guideline on how to input names for people from various countries. I explained this to the ground staff at Narita and Haneda multiple times but their response is usually that the reservation system is handled by another department. Discrepancy between reservation system and check in system is definitely a possibility. I can't add my miles because ANA mile systems has a totally different rule for passengers without dedicated first name and last name. So I have given up Using ANA mileage but now using United mileageplus. My family and I are relatively frequent flyers yet we never experience this with other airlines. With ANA, same problem has been going on for at least 2 yrs but we have not seen any improvement since.",Boeing 787,Family Leisure,Economy Class,Tokyo to Kuala Lumpur,2019-08-01,3.0,4.0,3.0,3.0,1.0,2,no,Tokyo,Kuala Lumpur,ana all nippon airways
"""climb up stairs to the plane""",4.0,P Jing,2019-10-01,"✅ Trip Verified |  Narita to Kuala Lumpur on flight NH815. After arriving at my gate, I started to feel weird as we are boarding through buses. You have to climb up stairs to the plane carrying your hand luggage.  Maybe I have too high hopes for a 5 star Japanese airline. We are paying for service as a customer. ",Boeing 787-9,Business,Business Class,Tokyo ta to Kuala Lumpur,2019-09-01,3.0,5.0,3.0,4.0,2.0,2,no,Tokyo ta,Kuala Lumpur,ana all nippon airways
"""most disappointing""",1.0,L Lee,2019-09-18,"✅ Trip Verified | Taipei to Narita on 8/30 had a serious delay and the way ANA handling it was a mess. First of all, the ANA crew did not know anything about the problem or they knew but they did not tell us, there was no communication between the airline company and customers. All we can do was keep waiting for another delay announcement. A lot of people need to transfer at NRT so the staff let them change the tickets first, that I can totally understand. However, as a business class passenger, I should have the priority to change my flight to other Star Alliance member such as EVA Air, but there was no line for that and after 3 hours waiting in line, one of the staff said the system was closed and my flight cannot be changed. They should just tell us immediately so people did not have to wait for hours. ANA did not arrange a hotel for us, I was flying from JFK to TPE then transfer to NRT, the time I arrived at TPE was 4 am, the time I left TPE was 11 pm, 19 hours of waiting, it was a nightmare. I can assure you I am the passenger who waited for the longest hours. In this case, ANA obvious did not know when the plane can be fixed, they should just arrange a hotel for passengers instead of kept postponing boarding time without explanation.  ANA paid 15,000 yen for communication is barely enough, the taxi from the airport to my hotel was around 10,000 yen, with the tips and tax there’s not much left. At Taipei, food vouchers were not enough, foods were expensive at the airport. 200-300 Taiwanese dollars can’t even get a regular lunch set or dinner set. To sum up, this trip was a nightmare because of this incident. The most disappointing things were the way ANA deal with it. I fly ANA quite often and I always have a good impression, but from this incident, I could not believe it is a 5-star airline.",Boeing 787-8,Solo Leisure,Business Class,Taipei to Narita,2019-08-01,4.0,4.0,4.0,3.0,1.0,1,no,Taipei,Narita,ana all nippon airways
"""service from the FAs was excellent""",10.0,Zhaozhun Li,2019-08-27,Not Verified |  Ho Chi Minh to to Chicago via Tokyo Narita. The Flight from Ho Chi Minh to Narita in economy was reasonable for the cost. The range of movies on the PTV system was limited and the food was very tasty. Customer service from the FAs was very excellent. The Narita-Chicago Flight was better than Ho Chi Minh to Narita because the service was better and it was flown by a B777-300ER.,Boeing 767-300 / 777-300ER,Family Leisure,Economy Class,Ho Chi Minh to to Chicago via Tokyo,2018-10-01,5.0,5.0,5.0,5.0,5.0,5,yes,Ho Chi Minh,to Chicago ,ana all nippon airways
"""the best travel experience""",10.0,Cole Schmid,2019-08-15,"Not Verified |  Okinawa to Vancouver via Tokyo. It was an amazing experience! We had to leave Okinawa because of a nearby hurricane. And our flight got delayed by an hour and we landed in Tokyo at 9:25pm and our next flight to Vancouver took off at 9:25pm. They had everything planned for our arrival and escorted us to our new flight in a rush and it was so well done. We got through one the worlds biggest airports in 25 mins and they paid for our taxi between terminals and rushed us through security and immigration, and they were keeping us updated the entire time. Got to our flight and safety took off. It was the best travel experience of my life.",Boeing 777,Couple Leisure,Economy Class,Okinawa to Vancouver via Tokyo,2019-08-01,5.0,5.0,5.0,5.0,5.0,5,yes,Okinawa,Vancouver ,ana all nippon airways
"""very satisfied with ANA""",9.0,F Koseki,2019-07-13,"❎ Not Verified | So I just basically did a round trip with ANA between Washington and Tokyo. The entire crew are awesome. Very polite and ready to help. The food is extremely delicious and fresh, with obviously Japanese food focused. My only complaints are with the seat and inflight entertainment. After a couple of hours sleeping, you definitely wake up with pain in your bottom. The seating could be a little bit more comfortable. The inflight entertainment could have more movies subtitled in English, there were just a few subtitled in English. But overall speaking I'm very satisfied with ANA services, I would definitely fly again with them.",Boeing 777,Family Leisure,Economy Class,Tokyo to Washington,2019-07-01,4.0,5.0,5.0,4.0,5.0,5,yes,Tokyo,Washington,ana all nippon airways
"""food was delicious and fresh""",10.0,Yuta Filippi,2019-07-09,"✅ Trip Verified | Frankfurt to Tokyo Haneda. Simply amazing! The CA were very professional, polite, friendly and helpful. The food was delicious and fresh.The seat was comfortable and had a recline different from other airlines (when you recline, it does not dirturb the passenger behind you). The service on board was a little bit slow but still efficient. Flight entertainment had a lot of movies in different languages, TV series, games, maps and seat to seat messaging. A very pleasant flight with ANA.",Boeing 777-300er,Family Leisure,Economy Class,Frankfurt to Tokyo Haneda,2018-11-01,5.0,5.0,5.0,4.0,4.0,4,yes,Frankfurt,Tokyo Haneda,ana all nippon airways
"""Crew was extremely friendly""",9.0,Daniel Mery,2019-06-22,"Not Verified |  Jakarta to Tokyo Haneda. Best airline experience I've had of 2019, Crew was extremely friendly, food and beverages were excellent, The IFE was nice, But one improvement, The Wi-Fi, At first I was super excited as I connected, but it did not work at all. Other than that, this airline is awesome.",Boeing 787-8,Family Leisure,Economy Class,Jakarta to Tokyo Haneda,2019-06-01,4.0,5.0,5.0,4.0,3.0,5,yes,Jakarta,Tokyo Haneda,ana all nippon airways
"""best ANA flight attendant service""",10.0,Stevan Rusli,2019-06-19,"✅ Trip Verified |  Jakarta to Tokyo Narita. I love ANA, is the best airline in the world. The best ANA flight attendant service and very helpful. I want to fly to Japan using All Nippon Airways again.",Boeing 787-8,Family Leisure,Economy Class,Jakarta to Tokyo Narita,2019-03-01,5.0,5.0,5.0,5.0,5.0,4,yes,Jakarta,Tokyo Narita,ana all nippon airways
"""seats offer a lot of privacy""",9.0,Tim Weber,2019-04-25,"Not Verified |  ANA has one of the best business class seats that offer a lot of privacy and comfort. Even for a tall European of 1.85m the seat is long enough to find a comfortable sleeping position. Flight attendants are outstandingly friendly and attentive without being obtrusive or robotic, and from my experience they all speak very good English. Food quality was above average, but although the flight from Tokyo to Sydney is 9.5 hours, main meal service comes on one tray with appetizer and entree served at the same time, which I find not really reasonable. I found breakfast on this route rather bland and meagre, but flight attendants are happy to find some add-ons, e.g. a left-over cheese plate or so. Inflight entertainment is generally OK, but falls behind Singapore Airlines or Qatar in terms of choice of movies or music, at least the European/Western selection, they might have a better selection for Japanese, Korean, or Chinese taste.",Boeing 787,Solo Leisure,Business Class,Tokyo-Haneda to Sydney,2019-01-01,5.0,5.0,4.0,4.0,5.0,4,yes,Tokyo-Haneda,Sydney,ana all nippon airways
"""Wonderful service""",10.0,B Edwards,2019-04-08,"✅ Trip Verified | Chicago to Tokyo. The absolute best airline I’ve ever flown. If the price is close, I’ll always choose ANA in the future. Wonderful service, comfortable seat, great food, awesome lounge at Narita Airport in Japan. Can’t say enough great things about this airline.",Boeing 777-300ER,Solo Leisure,Premium Economy,Chicago to Tokyo,2019-04-01,5.0,5.0,5.0,4.0,5.0,5,yes,Chicago,Tokyo,ana all nippon airways
"""till my favourite airline""",10.0,E Dalton,2019-02-26,"✅ Trip Verified |  Tokyo Haneda to Vancouver. After six flights with ANA, this is still my favourite airline. I have flown with other airlines, everything from budget to business, but ANA's excellence in food, service, and product make it my top pick. Even in economy class  I felt like a valued customer. The service is friendly and requests are handled quickly. The washrooms are kept very clean. If I had to list two areas for improvement, it would be the following: The first meal is great.  I think it is delicious and excellent value for economy class. However, it is so good that it makes the second meal inedible. On both flights (YVR-HND, HND-YVR), that sandwich in a box is the biggest disappointment. I would almost prefer it not be served at all. Seriously, the Moroccan chicken on the way to Tokyo was great, but while ANA has upgraded from a white sandwich box to a fancy blue one over the years, that sandwich still looks and tastes like sadness and disappointment. Free wifi for everyone. I have paid for wifi before, and it could be better.",Boeing 787,Solo Leisure,Economy Class,Tokyo Haneda to Vancouver,2019-02-01,5.0,5.0,4.0,5.0,5.0,5,yes,Tokyo Haneda,Vancouver,ana all nippon airways
"""recommend ANA to anyone""",10.0,Jeremy Teng,2019-02-26,"Not Verified |  Okinawa to Tokyo, and the experience I had was just as I had heard - every bit as good. Check in was fast, the staff were very helpful and really made us feel welcome to take ANA - the Japanese Omotenashi spirit was displayed. Boarding was very efficient and the plane left the gate on time. When the cabin service started, they  had a video showcasing the services they offered on board. The cabin crew were very warm and despite the short flight, extremely attentive. Landed early in Tokyo Haneda, and the cabin crew bowed to passengers as a way of saying goodbye. Definitely would recommend ANA to anyone, their service is really top notch and other airlines could really do with learning from their customer service.",Boeing 777-200,Solo Leisure,Economy Class,Naha to Tokyo Haneda,2018-12-01,5.0,5.0,5.0,5.0,5.0,5,yes,Naha,Tokyo Haneda,ana all nippon airways
